JOUR,O3obs,Pow2_O3obs,MOCAGE,TEMPE,RMH2O,NO2,NO,STATION,VentMOD,VentANG
1,91,8281,93.2,21.5,0.00847,1.6019999999999999,0.424,Aix,9.5,-0.6435
1,100,10000,104.6,20.2,0.00881,2.121,0.531,Aix,8.01,-0.049960000000000004
0,82,6724,103.6,17.4,0.00951,1.6569999999999998,0.467,Aix,9.3771,-0.12832000000000002
0,94,8836,94.8,18.8,0.00855,2.35,0.701,Aix,9.4578,-0.34515999999999997
0,107,11449,99.0,23.7,0.00731,1.653,0.452,Aix,7.8791,-0.41822
0,150,22500,114.3,23.6,0.01182,5.316,1.3430000000000002,Aix,6.3127,0.06341000000000001
0,164,26896,127.7,26.6,0.00937,2.841,0.55,Aix,4.8042,0.041639999999999996
1,135,18225,164.3,23.5,0.01087,15.732999999999999,2.911,Aix,4.8795,0.79989
1,121,14641,144.1,23.3,0.01168,8.807,1.867,Aix,5.1088,0.70226
0,129,16641,112.8,23.7,0.01091,18.910999999999998,4.7,Aix,5.4406,0.9420000000000001
0,118,13924,72.6,22.2,0.01626,4.258,1.304,Aix,5.9641,-0.60661
0,48,2304,146.0,14.3,0.014530000000000001,13.664000000000001,2.9760000000000004,Aix,5.8034,-0.03447
0,97,9409,87.5,18.5,0.009590000000000001,4.126,1.271,Aix,7.5273,0.33855999999999997
1,83,6889,158.9,15.4,0.01456,10.254000000000001,1.839,Aix,2.5942,0.48089
1,73,5329,112.6,19.6,0.0122,1.955,0.445,Aix,8.8752,-0.5848800000000001
0,91,8281,76.9,21.7,0.00685,1.382,0.429,Aix,12.3004,-0.63537
0,70,4900,81.8,24.4,0.0089,1.567,0.44299999999999995,Aix,9.5,-0.6435
0,125,15625,178.6,24.8,0.01206,8.216000000000001,1.139,Aix,6.5192,0.72027
0,168,28224,127.9,28.2,0.013869999999999999,4.632,0.861,Aix,7.1309,0.38832
0,113,12769,109.3,26.0,0.0122,12.29,2.958,Aix,5.9816,0.66691
1,118,13924,113.0,26.2,0.01064,4.615,0.995,Aix,6.2769,0.53496
1,130,16900,136.3,27.2,0.00912,4.276,0.8270000000000001,Aix,6.0033,0.52328
0,179,32041,141.1,27.8,0.0101,7.656000000000001,1.75,Aix,5.1313,0.57719
0,196,38416,131.4,29.1,0.00919,5.207999999999999,1.016,Aix,6.0902,0.51507
0,160,25600,141.1,29.5,0.010329999999999999,5.043,0.9,Aix,6.1221,0.66964
0,180,32400,163.6,29.5,0.007890000000000001,8.52,1.385,Aix,5.5227,0.55284
0,103,10609,141.6,29.1,0.00663,6.654,1.341,Aix,5.2839,0.51445
1,214,45796,159.9,33.2,0.01431,4.122,0.563,Aix,7.2615,0.39585
1,178,31684,138.1,30.5,0.015090000000000001,6.835,1.1740000000000002,Aix,6.0877,0.73892
0,160,25600,155.1,30.9,0.01526,2.489,0.349,Aix,7.2422,-0.61864
0,131,17161,140.5,30.2,0.00877,3.0260000000000002,0.48100000000000004,Aix,9.0,-0.6435
0,169,28561,149.9,30.2,0.011340000000000001,2.198,0.314,Aix,5.7801,-0.52558
0,139,19321,92.5,26.0,0.01426,23.822,7.51,Aix,5.36,0.9310299999999999
0,104,10816,97.9,25.4,0.00884,1.8159999999999998,0.414,Aix,12.3907,-0.83678
1,127,16129,96.1,26.2,0.0071200000000000005,1.78,0.429,Aix,6.2266,-0.5211399999999999
1,163,26569,123.7,25.4,0.010579999999999999,2.701,0.596,Aix,6.3008,0.01587
0,121,14641,146.2,23.3,0.013430000000000001,18.234,3.773,Aix,4.7854,1.11649
0,93,8649,126.1,26.6,0.01217,3.187,0.669,Aix,6.0133,-0.06657
0,108,11664,122.4,22.1,0.01872,8.698,2.0380000000000003,Aix,6.4444,0.73051
0,91,8281,99.7,24.7,0.007540000000000001,2.109,0.502,Aix,11.2058,-0.57563
0,129,16641,122.4,24.5,0.00921,5.359,1.146,Aix,6.9354,0.7446
1,89,7921,146.5,24.9,0.011340000000000001,2.336,0.36200000000000004,Aix,6.5765,-0.49085
1,145,21025,145.2,28.1,0.01342,4.691,0.8079999999999999,Aix,7.4653,0.68102
0,124,15376,127.3,28.0,0.01123,6.486000000000001,1.2919999999999998,Aix,7.1344,1.02557
0,132,17424,125.9,26.9,0.011729999999999999,9.414,2.22,Aix,6.2936,0.7741600000000001
0,96,9216,183.4,26.3,0.014830000000000001,4.334,0.58,Aix,5.4452,-0.12891
0,116,13456,117.0,28.9,0.01007,2.7430000000000003,0.541,Aix,6.36,-0.28694000000000003
0,132,17424,128.4,30.0,0.01023,2.81,0.508,Aix,6.562,-0.13759000000000002
1,93,8649,74.1,24.9,0.00984,1.045,0.337,Aix,9.426,-0.71783
0,117,13689,159.1,20.1,0.01962,3.127,0.43200000000000005,Aix,5.4626,-0.41451000000000005
0,96,9216,143.3,23.7,0.015340000000000001,2.125,0.36200000000000004,Aix,12.1017,-0.74449
0,111,12321,119.9,28.4,0.01138,1.8230000000000002,0.33399999999999996,Aix,10.6042,-0.6718
